id,season,week,startDate,startTimeTBD,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,capacity,grass,dome,city,state,zip,countryCode,timezone,latitude,longitude,elevation,constructionYear,game_date,temperature_c,precip_mm,windspeed_kmh,attendance_pct,high_attendance,flag_missing_attendance,flag_missing_capacity,flag_over_capacity,awayEloMissing,homeEloMissing
401634300,2024,1,2024-08-31T02:30:00.000Z,False,False,False,36026.0,3940,Stanford Stadium,24,Stanford,ACC,27.0,"[7, 10, 0, 10]",0.0335695371031761,1286.0,1295.0,2628,TCU,fbs,Big 12,34.0,"[7, 3, 10, 14]",0.966430462896824,1587.0,1578.0,7.363318406375972,50424.0,True,False,Stanford,CA,94305.0,US,America/Los_Angeles,37.4345556,-122.1611271,18.38425636,2006.0,2024-08-31,22.2,0.0,6.3,0.7144613676027288,0.0,False,False,False,False,False
401643703,2024,1,2024-08-31T04:00:00.000Z,True,False,False,17037.0,3905,Maverik Stadium,328,Utah State,Mountain West,36.0,"[7, 3, 10, 16]",0.9518612027168274,1346.0,1346.0,2523,Robert Morris,fcs,NEC,14.0,"[0, 14, 0, 0]",0.0481387972831726,1480.0,1472.0,6.101459371659212,25513.0,False,False,Logan,UT,84322.0,US,America/Denver,41.7517394,-111.8116007,1427.914429,1968.0,2024-08-31,17.5,0.0,5.6,0.6677772116176067,0.0,False,False,False,True,False
401628450,2024,1,2024-08-31T16:00:00.000Z,False,False,False,69250.0,3793,Kinnick Stadium,2294,Iowa,Big Ten,40.0,"[3, 3, 13, 21]",1.0,1550.0,1550.0,2287,Illinois State,fcs,MVFC,0.0,"[0, 0, 0, 0]",0.0,1480.0,1472.0,2.793911585006647,69250.0,False,False,Iowa City,IA,52242.0,US,America/Chicago,41.6586045,-91.5510829,220.6357727,1929.0,2024-08-31,24.0,0.0,6.5,1.0,1.0,False,False,False,True,False
401628451,2024,1,2024-08-31T16:00:00.000Z,False,False,False,35421.0,3665,SECU Stadium,120,Maryland,Big Ten,50.0,"[14, 9, 13, 14]",0.9924694895744324,1630.0,1703.0,41,UConn,fbs,FBS Independents,7.0,"[0, 0, 7, 0]",0.0075305104255676,1230.0,1157.0,2.404775825788813,51802.0,False,False,College Park,MD,20742.0,US,America/New_York,38.9903332,-76.9473792,32.68748093,1950.0,2024-08-31,24.9,0.1,8.9,0.6837766881587584,0.0,False,False,False,False,False
401645322,2024,1,2024-08-31T16:00:00.000Z,False,False,False,28763.0,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,American Athletic,49.0,"[6, 22, 7, 14]",0.9987257122993468,1368.0,1368.0,2083,Bucknell,fcs,Patriot,21.0,"[7, 0, 7, 7]",0.001274287700653,1480.0,1472.0,3.6932632596516344,34000.0,False,False,Annapolis,MD,21402.0,US,America/New_York,38.9846985,-76.5076335,10.74990082,1959.0,2024-08-31,25.6,0.0,7.3,0.8459705882352941,0.0,False,False,False,True,False
401628323,2024,1,2024-08-31T16:00:00.000Z,False,True,False,78827.0,5348,Mercedes-Benz Stadium,61,Georgia,SEC,34.0,"[0, 6, 14, 14]",0.980593204498291,2015.0,2066.0,228,Clemson,fbs,ACC,3.0,"[0, 0, 3, 0]",0.0194067955017089,1676.0,1625.0,2.8789609314034847,75000.0,False,True,Atlanta,GA,30313.0,US,America/New_York,33.755578,-84.400881,307.9,2017.0,2024-08-31,31.0,0.0,5.6,1.0510266666666668,,False,False,True,False,False
401628457,2024,1,2024-08-31T16:00:00.000Z,False,False,False,62084.0,3842,Milan Puskar Stadium,277,West Virginia,Big 12,12.0,"[0, 6, 0, 6]",0.0,1574.0,1546.0,213,Penn State,fbs,Big Ten,34.0,"[0, 20, 7, 7]",1.0,1833.0,1861.0,3.735104165386895,60000.0,False,False,Morgantown,WV,26507.0,US,America/New_York,39.6502744,-79.9551873,327.409668,1980.0,2024-08-31,25.8,0.0,4.8,1.0347333333333333,1.0,False,False,True,False,False
401634305,2024,1,2024-08-31T16:00:00.000Z,False,False,False,44616.0,3752,Acrisure Stadium,221,Pittsburgh,ACC,55.0,"[14, 14, 14, 13]",0.965776264667511,1436.0,1486.0,2309,Kent State,fbs,Mid-American,24.0,"[7, 7, 10, 0]",0.034223735332489,1158.0,1108.0,3.4014438325652123,68400.0,True,False,Pittsburgh,PA,15260.0,US,America/New_York,40.4467648,-80.0157603,220.5887146,2001.0,2024-08-31,27.8,0.0,6.6,0.652280701754386,0.0,False,False,False,False,False
401634169,2024,1,2024-08-31T16:00:00.000Z,False,False,False,59488.0,3907,Ross-Ade Stadium,2509,Purdue,Big Ten,49.0,"[7, 14, 14, 14]",0.9893006086349488,1492.0,1492.0,282,Indiana State,fcs,MVFC,0.0,"[0, 0, 0, 0]",0.0106993913650512,1480.0,1472.0,2.3671068601956624,57282.0,True,False,West Lafayette,IN,47907.0,US,America/Indiana/Indianapolis,40.4352253,-86.9186843,197.5337677,1924.0,2024-08-31,25.7,0.0,5.2,1.038511225166719,1.0,False,False,True,True,False
401628333,2024,1,2024-08-31T16:00:00.000Z,False,False,False,,3973,FirstBank Stadium,238,Vanderbilt,SEC,34.0,"[3, 14, 3, 7, 7]",1.0,1284.0,1313.0,259,Virginia Tech,fbs,ACC,27.0,"[0, 3, 10, 14, 0]",0.0,1604.0,1575.0,6.107332935925761,40351.0,False,False,Nashville,TN,37212.0,US,America/Chicago,36.1440455,-86.8088942,159.9194641,1922.0,2024-08-31,29.4,0.0,1.9,,,True,False,False,False,False
